Pclass,Sex,SibSp,Parch,Embarked,Survived
1,0,1,2,2,Survived
3,0,2,2,2,Not Survived
2,0,2,3,2,Survived
1,1,1,4,2,Not Survived
2,1,0,0,2,Not Survived
2,0,1,1,2,Survived
3,1,0,0,2,Not Survived
3,1,1,0,2,Not Survived
2,0,0,0,2,Survived
3,1,0,0,2,Survived
1,1,0,2,2,Survived
2,0,0,1,2,Survived
1,1,0,0,2,Survived
3,0,2,1,0,Survived
1,1,0,0,2,Survived
2,1,1,2,2,Not Survived
3,1,1,0,2,Not Survived
1,1,0,0,0,Not Survived
1,1,1,0,0,Survived
3,1,0,0,2,Not Survived
3,1,0,0,0,Survived
1,1,0,0,2,Not Survived
1,0,1,0,2,Survived
2,0,0,0,2,Survived
3,1,0,0,1,Not Survived
1,1,0,0,2,Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
1,1,0,0,2,Not Survived
3,1,0,0,1,Not Survived
3,0,2,1,0,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
2,0,1,2,2,Survived
2,0,0,0,0,Survived
3,0,0,0,2,Not Survived
1,1,0,0,2,Not Survived
2,1,1,0,2,Not Survived
3,1,1,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,0,1,2,Survived
3,1,5,2,2,Not Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,0,0,2,Survived
1,1,1,0,0,Survived
3,0,3,1,2,Not Survived
1,0,1,0,2,Survived
1,1,0,0,0,Not Survived
3,1,0,0,2,Not Survived
3,1,1,1,2,Survived
3,1,1,0,2,Not Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Not Survived
1,1,0,0,0,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,0,Not Survived
1,0,1,0,0,Survived
3,1,0,0,2,Not Survived
1,0,1,2,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,0,0,1,Not Survived
3,0,0,0,1,Not Survived
3,0,0,0,2,Not Survived
1,0,0,0,2,Survived
1,1,1,0,0,Not Survived
2,0,0,2,2,Survived
1,1,0,0,2,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Survived
3,1,0,0,1,Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Survived
1,0,1,0,0,Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Not Survived
2,0,0,0,2,Survived
3,1,0,0,1,Not Survived
2,0,1,0,2,Survived
3,1,0,0,2,Not Survived
1,0,0,0,2,Survived
3,1,0,0,2,Not Survived
3,1,0,0,0,Not Survived
1,0,0,1,0,Survived
3,1,0,0,0,Not Survived
3,1,0,0,1,Not Survived
2,0,0,0,2,Survived
1,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
2,1,2,1,2,Not Survived
2,0,1,1,2,Survived
3,1,0,0,0,Not Survived
3,1,1,1,0,Not Survived
3,0,0,2,0,Survived
3,0,0,0,2,Not Survived
2,0,0,2,2,Survived
1,1,0,0,2,Not Survived
1,0,0,0,0,Survived
3,1,0,0,2,Not Survived
1,0,0,2,0,Survived
1,0,0,2,2,Survived
3,0,4,2,2,Not Survived
3,0,4,2,2,Not Survived
2,1,1,0,2,Survived
1,1,1,0,0,Not Survived
1,1,0,0,2,Not Survived
2,0,1,0,2,Survived
2,1,0,0,0,Survived
3,1,1,1,2,Not Survived
2,1,1,1,2,Survived
1,1,0,2,0,Survived
2,1,0,0,2,Not Survived
3,1,0,0,1,Not Survived
3,1,0,0,0,Survived
3,0,0,0,2,Survived
1,1,0,0,2,Not Survived
1,0,1,0,0,Survived
1,1,0,0,0,Not Survived
1,0,1,1,2,Survived
3,0,1,0,2,Survived
3,1,0,0,1,Not Survived
3,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,0,0,2,Not Survived
3,1,2,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,0,4,2,Not Survived
3,1,0,0,0,Not Survived
3,1,0,0,2,Survived
2,1,0,0,2,Survived
1,0,2,0,2,Survived
1,1,0,0,2,Survived
3,0,0,0,1,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
2,0,0,0,2,Survived
1,0,1,0,2,Survived
3,0,1,0,0,Not Survived
3,1,0,0,2,Survived
2,0,1,1,2,Survived
1,0,1,1,0,Survived
2,1,0,0,2,Not Survived
1,1,0,0,0,Not Survived
3,1,0,0,0,Not Survived
1,0,0,2,2,Survived
2,1,0,0,2,Not Survived
1,1,1,1,0,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,0,1,0,0,Survived
3,1,0,0,2,Not Survived
3,0,0,2,1,Not Survived
2,1,1,0,2,Not Survived
3,1,1,1,2,Not Survived
2,0,0,0,2,Survived
3,1,0,0,2,Not Survived
3,1,0,0,0,Not Survived
1,1,1,0,0,Survived
2,0,2,1,2,Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,1,0,0,0,Survived
3,1,1,0,2,Not Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Survived
2,0,1,2,0,Survived
1,0,0,0,2,Survived
3,0,1,5,2,Not Survived
3,1,0,0,2,Not Survived
3,0,1,0,1,Survived
3,1,0,0,1,Not Survived
3,1,0,0,2,Not Survived
2,0,1,2,2,Survived
3,1,1,1,2,Not Survived
3,0,1,0,2,Not Survived
2,0,2,1,2,Survived
2,1,0,0,2,Not Survived
3,1,1,0,0,Not Survived
1,1,1,0,2,Survived
3,1,1,1,0,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Not Survived
2,1,0,0,1,Not Survived
1,0,0,0,2,Survived
3,1,0,0,2,Not Survived
3,1,0,0,1,Not Survived
1,1,0,0,2,Survived
3,1,0,0,2,Not Survived
1,1,0,0,0,Survived
1,1,0,0,2,Not Survived
3,0,3,2,2,Not Survived
2,0,0,0,2,Survived
3,1,0,0,2,Not Survived
2,1,1,1,2,Not Survived
3,0,0,5,2,Not Survived
3,1,1,0,2,Not Survived
3,1,0,0,2,Not Survived
1,0,0,0,0,Survived
3,0,3,2,2,Not Survived
3,1,0,0,2,Survived
3,0,2,1,0,Survived
1,1,1,0,0,Survived
3,1,0,0,2,Not Survived
1,1,0,0,0,Survived
3,1,0,0,2,Not Survived
3,0,0,0,2,Survived
3,1,0,0,2,Not Survived
2,0,0,1,2,Survived
3,1,0,0,2,Not Survived
3,0,0,0,1,Survived
3,0,0,0,1,Not Survived
2,1,2,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,1,1,1,Not Survived
2,1,0,0,2,Not Survived
1,1,0,2,0,Not Survived
1,1,2,0,2,Survived
3,1,0,0,0,Not Survived
1,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,1,0,2,Survived
2,1,2,0,2,Not Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,0,1,0,2,Survived
2,0,1,1,2,Survived
1,1,1,0,2,Not Survived
2,1,0,0,2,Not Survived
2,1,0,0,2,Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,0,0,2,Survived
3,0,1,6,2,Not Survived
1,1,0,1,0,Survived
3,0,0,0,1,Not Survived
1,1,0,0,0,Survived
3,1,0,0,2,Not Survived
3,1,5,2,2,Not Survived
2,1,1,1,2,Not Survived
2,1,1,2,0,Not Survived
3,1,4,1,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,0,0,1,2,Survived
1,1,1,0,2,Survived
3,0,0,1,0,Survived
3,1,0,0,2,Survived
3,1,0,0,0,Not Survived
1,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,0,0,1,Survived
1,1,1,1,0,Not Survived
3,1,0,0,2,Not Survived
1,0,1,0,0,Survived
1,1,0,0,2,Survived
3,0,0,1,0,Not Survived
3,1,0,0,1,Not Survived
3,1,1,0,2,Not Survived
2,1,0,0,2,Not Survived
2,0,0,0,2,Survived
1,1,0,0,2,Survived
1,0,0,0,2,Survived
3,1,1,1,0,Survived
1,0,0,0,0,Survived
1,1,0,0,2,Not Survived
1,1,1,0,2,Survived
3,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,0,0,0,0,Survived
2,0,0,0,2,Survived
3,1,0,0,1,Not Survived
3,1,0,0,2,Not Survived
2,0,0,1,2,Survived
3,1,1,0,2,Not Survived
2,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
1,1,1,0,2,Survived
3,1,0,0,2,Not Survived
2,0,3,0,2,Survived
3,0,0,0,1,Survived
2,1,1,0,2,Not Survived
3,0,1,0,2,Not Survived
1,0,0,0,2,Survived
3,1,0,0,0,Not Survived
2,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,1,3,2,Not Survived
1,1,0,0,0,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Survived
1,1,1,0,2,Not Survived
1,0,2,2,0,Survived
3,1,1,0,2,Not Survived
3,1,0,0,2,Survived
1,1,1,1,2,Not Survived
3,1,1,1,2,Not Survived
2,0,0,0,2,Survived
1,1,1,0,2,Not Survived
3,1,0,0,1,Not Survived
2,0,1,1,2,Survived
3,1,0,1,2,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
2,0,1,2,2,Survived
2,1,1,1,2,Survived
3,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,0,0,0,2,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,0,Survived
1,0,1,2,2,Survived
3,1,0,0,2,Not Survived
1,0,1,0,2,Survived
1,1,0,0,0,Not Survived
3,0,0,0,1,Not Survived
3,1,1,0,1,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
2,0,0,0,2,Not Survived
3,1,0,0,0,Not Survived
2,0,1,3,2,Survived
3,1,0,0,2,Not Survived
3,1,0,0,1,Not Survived
3,0,0,0,2,Survived
3,1,0,0,1,Not Survived
1,0,0,1,2,Survived
3,0,0,0,0,Survived
1,0,1,0,2,Survived
1,1,0,0,2,Not Survived
3,1,1,2,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,0,0,2,Survived
3,1,4,1,1,Not Survived
3,1,1,2,2,Survived
1,1,0,0,0,Not Survived
3,1,0,0,1,Not Survived
2,1,0,0,2,Not Survived
3,0,8,2,2,Not Survived
1,1,0,0,0,Not Survived
3,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
1,0,0,0,2,Survived
3,0,0,0,2,Survived
3,1,0,0,0,Not Survived
3,0,1,1,2,Not Survived
2,1,0,0,2,Not Survived
2,0,1,1,2,Survived
1,1,1,2,2,Survived
3,1,0,1,0,Survived
3,1,0,0,2,Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Not Survived
3,0,0,0,2,Not Survived
2,1,0,0,2,Not Survived
1,0,1,0,2,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
3,0,4,2,2,Not Survived
3,1,0,0,2,Not Survived
1,1,0,0,2,Not Survived
3,0,0,0,2,Not Survived
2,1,1,1,0,Not Survived
3,1,0,0,2,Not Survived
3,1,3,2,2,Not Survived
1,0,1,1,2,Survived
3,1,0,0,2,Survived
1,1,0,0,2,Not Survived
3,0,0,1,2,Survived
3,1,4,1,2,Not Survived
3,1,0,0,1,Not Survived
3,1,0,0,2,Not Survived
2,1,0,2,0,Survived
3,1,0,0,1,Survived
3,0,1,0,0,Survived
2,1,1,1,2,Survived
3,1,0,0,0,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,0,1,1,0,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Survived
1,1,0,0,0,Survived
3,1,0,0,2,Not Survived
2,1,0,0,2,Not Survived
1,0,0,0,0,Survived
3,1,0,0,0,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,8,2,2,Not Survived
3,1,0,0,0,Not Survived
2,1,0,1,2,Not Survived
1,0,1,0,0,Survived
3,1,4,2,2,Not Survived
3,1,0,0,2,Not Survived
3,0,1,1,0,Not Survived
1,0,0,1,2,Survived
2,0,1,0,2,Not Survived
3,0,0,1,2,Survived
1,0,1,1,2,Survived
1,1,0,0,2,Survived
3,0,0,3,0,Survived
3,1,0,0,0,Not Survived
3,1,2,0,2,Not Survived
2,1,1,0,2,Not Survived
1,0,0,0,2,Survived
3,0,8,2,2,Not Survived
2,1,0,0,2,Not Survived
2,0,0,0,2,Survived
2,0,1,0,0,Survived
1,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,1,1,2,Survived
3,1,0,0,2,Not Survived
1,0,1,1,2,Survived
1,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
2,0,1,0,0,Survived
3,0,0,0,0,Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
1,0,0,1,0,Survived
2,0,0,1,2,Survived
3,1,0,0,2,Not Survived
3,0,0,0,2,Not Survived
2,1,0,0,2,Not Survived
3,1,0,0,2,Not Survived
3,0,0,5,1,Not Survived
2,1,0,0,2,Not Survived
1,0,0,0,2,Survived
3,0,1,2,2,Not Survived
1,1,0,0,0,Survived
3,1,0,0,1,Not Survived
